DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,CZ,2014,3.879,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,CZ,2015,4.084,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,CZ,2016,4.227,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,CZ,2017,4.261,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,CZ,2018,4.381,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,CZ,2019,4.588,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,CZ,2020,4.616,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,CZ,2021,4.509,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,CZ,2022,4.712,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,DE,2013,8.070,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,DE,2014,8.616,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,DE,2015,8.699,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,DE,2016,8.829,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,DE,2017,9.026,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,DE,2018,9.337,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,DE,2019,9.652,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,DE,2020,10.038,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,DE,2021,9.955,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,DE,2022,10.635,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,DK,2013,13.190,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,DK,2014,14.012,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,DK,2015,14.377,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,DK,2016,14.534,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,DK,2017,14.955,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,DK,2018,15.176,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,DK,2019,15.731,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,DK,2020,16.763,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,DK,2021,17.020,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,DK,2022,17.750,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EE,2013,2.631,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EE,2014,2.891,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EE,2015,3.383,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EE,2016,2.848,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EE,2017,3.041,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EE,2018,3.267,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EE,2019,4.014,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EE,2020,4.233,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EE,2021,4.429,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EE,2022,4.192,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EL,2013,6.965,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EL,2014,7.087,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EL,2015,7.070,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EL,2016,7.173,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EL,2017,6.936,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EL,2018,7.189,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EL,2019,7.310,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EL,2020,7.829,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EL,2021,8.032,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EL,2022,8.317,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,ES,2013,7.955,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,ES,2014,8.187,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,ES,2015,8.219,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,ES,2016,8.403,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,ES,2017,8.293,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,ES,2018,8.475,
